"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","API-05: Bloquear autenticação via Body (Segurança de Header)","chromium","Sun Feb 08 11:22:21 UTC 2026","failed","Sun Feb 08 11:22:21 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","28","API-03: Validar integridade da exclusão (Hard Delete)","webkit","Sun Feb 08 11:22:49 UTC 2026","failed","Sun Feb 08 11:22:49 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","chromium","Sun Feb 08 11:22:17 UTC 2026","failed","Sun Feb 08 11:22:17 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-02: Garantir que dados sensíveis (secret) não são expostos","chromium","Sun Feb 08 11:22:10 UTC 2026","failed","Sun Feb 08 11:22:10 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","27","API-01: Validar criação de task com status 201 (Contrato)","chromium","Sun Feb 08 11:22:07 UTC 2026","failed","Sun Feb 08 11:22:07 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","27","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","webkit","Sun Feb 08 11:22:52 UTC 2026","failed","Sun Feb 08 11:22:52 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","27","API-01: Validar criação de task com status 201 (Contrato)","firefox","Sun Feb 08 11:22:25 UTC 2026","failed","Sun Feb 08 11:22:25 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-03: Validar integridade da exclusão (Hard Delete)","firefox","Sun Feb 08 11:22:31 UTC 2026","failed","Sun Feb 08 11:22:31 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-02: Garantir que dados sensíveis (secret) não são expostos","webkit","Sun Feb 08 11:22:45 UTC 2026","failed","Sun Feb 08 11:22:45 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-04: Resiliência em cálculos de estatísticas (Base Vazia)","firefox","Sun Feb 08 11:22:35 UTC 2026","failed","Sun Feb 08 11:22:35 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-05: Bloquear autenticação via Body (Segurança de Header)","webkit","Sun Feb 08 11:22:56 UTC 2026","failed","Sun Feb 08 11:22:56 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","23","API-05: Bloquear autenticação via Body (Segurança de Header)","firefox","Sun Feb 08 11:22:38 UTC 2026","failed","Sun Feb 08 11:22:38 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","28","API-03: Validar integridade da exclusão (Hard Delete)","chromium","Sun Feb 08 11:22:14 UTC 2026","failed","Sun Feb 08 11:22:14 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","25","API-01: Validar criação de task com status 201 (Contrato)","webkit","Sun Feb 08 11:22:42 UTC 2026","failed","Sun Feb 08 11:22:42 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
"","24","API-02: Garantir que dados sensíveis (secret) não são expostos","firefox","Sun Feb 08 11:22:28 UTC 2026","failed","Sun Feb 08 11:22:28 UTC 2026","ZenTask Pro - Suite de Automação e Bug Hunting","zentask.spec.js","",""
